metric,point_estimate,ci_lower,ci_upper,model,run_at,git_commit
roc_auc,0.5934472349471875,0.5694800857083634,0.618624305237807,Logistic regression (base features),2026-09-24 13:28:41.641576+00:00,3342497873f584f4d6befae60c0d2a91f4cf7b4a
pr_auc,0.05241169579302321,0.04419814595047925,0.06365394334960203,Logistic regression (base features),2026-09-24 13:28:41.641576+00:00,3342497873f584f4d6befae60c0d2a91f4cf7b4a
top_10pct_capture_rate,16.787003610108304,13.863127087589584,20.000910746812384,Logistic regression (base features),2026-09-24 13:28:41.641576+00:00,3342497873f584f4d6befae60c0d2a91f4cf7b4a
top_20pct_capture_rate,30.505415162454874,26.78890891218873,34.1198898485832,Logistic regression (base features),2026-09-24 13:28:41.641576+00:00,3342497873f584f4d6befae60c0d2a91f4cf7b4a
